R_fighter,B_fighter,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs
Uriah Hall,Sean Strickland,USA,Blue,FALSE,Middleweight,MALE,5,0,4,0,5.45,0.4,0.3,1.32,0.61,4,3,33,0,0,2,4,3,1,0,10,185.42,193.04,185,0,4,0,3.47,0.49,0.2,0.58,0.38,4,7,37,0,0,1,1,8,0,0,10,182.88,200.66,185,37,30,0,0,0,0,-4,-4,0,-5,1,25.400.000.000.000.200,-7.620.000.000.000.000,-7,1.98,1.000.000.000.000.000,7.400.000.000.000.000,,Red,U-DEC,,5.0,05:00,1500.0
Cheyanne Buys,Gloria de Paula,USA,Red,FALSE,Women's Strawweight,FEMALE,3,1,0,0,3.39,0.54,1.0,0.0,0.0,1,1,6,0,0,0,1,0,0,0,1,165.1,170.18,115,1,0,0,4.32,0.54,0.0,0.48,0.33,1,1,6,0,0,0,1,0,0,0,1,160.02,160.02,115,26,26,0,0,0,0,0,0,0,0,0,5.079.999.999.999.980,10.159.999.999.999.900,0,-9.300.000.000.000.000,1.0,-0.48,,neither,KO/TKO,Kick,1.0,01:00,60.0
Niklas Stolze,Jared Gooden,USA,Blue,FALSE,Welterweight,MALE,3,2,0,0,05.04,0.42,0.0,0.96,1.0,0,2,6,0,0,0,0,0,0,0,0,182.88,195.58,170,1,0,0,2.29,0.43,0.0,0.93,1.0,0,1,3,0,0,0,0,0,0,0,0,182.88,190.5,170,28,27,1,0,0,0,1,3,0,0,0,0.0,50.800.000.000.000.100,-1,2.75,0.0,299.999.999.999.999,,neither,KO/TKO,Punch,1.0,01:08,68.0
Collin Anglin,Melsik Baghdasaryan,USA,Blue,FALSE,Featherweight,MALE,3,0,1,0,6.69,0.62,0.0,0.0,0.0,1,0,3,0,0,0,1,0,0,0,1,175.26,177.8,145,0,1,0,5.18,0.54,0.0,2.75,0.8,1,0,3,0,0,0,1,0,0,0,1,175.26,180.34,145,28,29,0,0,0,0,0,0,0,0,0,0.0,-2.539.999.999.999.990,1,1.510.000.000.000.000,0.0,-2.75,,neither,KO/TKO,Kick,2.0,01:50,410.0
Bryan Barberena,Jason Witt,USA,Blue,FALSE,Welterweight,MALE,3,1,0,0,2.63,0.49,1.3,6.46,0.45,1,2,4,0,0,0,0,0,1,0,1,177.8,177.8,170,0,1,0,5.26,0.48,0.4,0.21,0.25,2,5,28,0,0,0,2,3,1,0,6,182.88,182.88,170,32,34,1,-1,-1,-5,-3,-24,0,-3,0,-5.079.999.999.999.980,-5.079.999.999.999.980,2,-2.63,0.9,6.25,,neither,M-DEC,,3.0,05:00,900.0
Chris Gruetzemacher,Rafa Garcia,USA,Red,FALSE,Lightweight,MALE,3,1,0,0,4.13,0.34,0.5,2.5,0.33,0,1,3,0,0,0,0,0,0,0,0,170.18,177.8,155,1,0,0,6.93,0.56,0.0,0.0,0.0,2,3,12,0,0,0,1,2,0,0,3,172.72,172.72,155,35,26,0,0,-2,-3,-2,-9,0,-2,0,-2.539.999.999.999.990,50.800.000.000.000.100,-9,-2.8,0.5,2.5,,neither,U-DEC,,3.0,05:00,900.0
Jinh Yu Frey,Ashley Yoder,USA,Red,FALSE,Women's Strawweight,FEMALE,3,1,0,0,03.08,0.39,0.6,1.2,0.3,2,6,27,0,0,1,2,0,0,0,3,170.18,175.26,115,0,1,0,2.86,0.44,0.5,0.78,0.37,1,2,9,0,0,0,1,0,0,0,1,160.02,165.1,115,36,33,1,-1,1,2,4,18,0,0,0,10.159.999.999.999.900,10.159.999.999.999.900,-3,2.200.000.000.000.000,1.000.000.000.000.000,4.199.999.999.999.990,,neither,U-DEC,,3.0,05:00,900.0
Ryan Benoit,Zarrukh Adashev,USA,Blue,FALSE,Flyweight,MALE,3,2,0,0,3.54,0.39,0.5,0.0,0.0,0,2,4,0,0,0,0,0,0,0,0,165.1,165.1,125,2,0,0,2.88,0.39,0.4,0.28,0.22,1,5,20,0,0,1,0,2,0,0,3,165.1,172.72,125,31,29,0,0,-1,-3,-3,-16,0,-2,0,0.0,-7.620.000.000.000.000,-2,6.600.000.000.000.000,1.000.000.000.000.000,-0.28,,neither,U-DEC,,3.0,05:00,900.0
Phil Rowe,Orion Cosce,USA,Red,FALSE,Welterweight,MALE,3,0,1,0,3.7,0.55,0.0,1.87,0.42,1,0,3,0,0,0,0,1,0,0,1,180.34,180.34,170,1,0,0,4.97,0.56,0.0,0.87,0.33,1,1,6,0,0,0,0,1,0,0,1,190.5,203.2,170,31,27,-1,1,0,0,-1,-3,0,0,0,-10.159.999.999.999.900,-22.859.999.999.999.900,-4,-12.699.999.999.999.900,0.0,1.0,,neither,KO/TKO,Punches,2.0,04:21,561.0
Cory Sandhagen,TJ Dillashaw,USA,Blue,FALSE,Bantamweight,MALE,5,1,0,0,5.26,0.41,0.8,1.63,0.3,4,4,43,7,0,0,4,7,1,0,12,167.64,170.18,135,0,2,0,6.32,0.47,0.6,0.74,0.44,5,1,15,0,0,1,1,4,1,0,7,180.34,177.8,135,29,35,1,-2,-1,5,3,28,7,3,0,-12.699.999.999.999.900,-7.620.000.000.000.000,6,-10.600.000.000.000.000,0.2,8.899.999.999.999.990,,Red,S-DEC,,5.0,05:00,1500.0
Kyler Phillips,Raulian Paiva,USA,Blue,FALSE,Bantamweight,MALE,3,0,2,0,4.24,0.43,0.2,0.62,0.27,2,2,12,0,0,1,1,1,0,0,3,172.72,175.26,125,0,4,0,5.2,0.49,0.3,3.2,0.55,4,0,9,0,0,0,2,2,0,0,4,172.72,182.88,135,26,25,0,-2,-2,-1,2,3,0,-1,0,0.0,-7.620.000.000.000.000,-1,-0.96,-1.000.000.000.000.000,-2.58,,Red,M-DEC,,3.0,05:00,900.0
Darren Elkins,Darrick Minner,USA,Red,FALSE,Featherweight,MALE,3,0,2,0,2.96,0.66,4.0,3.11,0.7,2,2,7,0,0,0,1,0,1,0,2,170.18,175.26,145,0,1,0,3.46,0.38,1.1,2.67,0.33,6,8,60,0,0,2,8,3,2,0,15,177.8,180.34,145,37,31,0,1,-4,-13,-6,-53,0,-3,-1,-7.620.000.000.000.000,-50.800.000.000.000.100,-6,-0.5,2.9,4.399.999.999.999.990,,neither,KO/TKO,Punches,2.0,03:48,528.0
Miranda Maverick,Maycee Barber,USA,Blue,FALSE,Women's Flyweight,FEMALE,3,2,0,0,4.67,0.49,0.2,1.36,0.33,4,2,14,0,0,0,0,4,0,0,4,165.1,165.1,125,0,2,0,4.77,0.43,0.0,1.71,0.8,2,0,4,0,0,0,1,1,0,0,2,160.02,165.1,125,24,23,2,-2,2,2,2,10,0,3,0,5.079.999.999.999.980,0.0,-1,-999.999.999.999.996,0.2,-3.499.999.999.999.990,,Blue,S-DEC,,3.0,05:00,900.0
Adrian Yanez,Randy Costa,USA,Red,FALSE,Bantamweight,MALE,3,0,2,0,8.64,0.46,0.0,0.0,0.0,2,1,4,0,0,0,0,2,0,0,2,175.26,185.42,135,0,3,0,6.13,0.38,0.0,0.0,0.0,3,0,5,0,0,0,0,3,0,0,3,170.18,177.8,135,27,27,0,-1,-1,-1,1,-1,0,-1,0,5.079.999.999.999.980,7.620.000.000.000.000,0,25.100.000.000.000.000,0.0,0.0,,neither,KO/TKO,Punches,2.0,02:11,431.0
Punahele Soriano,Brendan Allen,USA,Blue,FALSE,Middleweight,MALE,3,0,1,0,4.1,0.52,1.6,1.29,0.45,4,1,10,0,0,0,1,1,3,0,5,187.96,190.5,185,0,3,0,4.44,0.43,0.0,1.58,0.66,3,0,5,0,0,0,1,2,0,0,3,180.34,182.88,185,28,25,0,-2,1,2,1,5,0,-1,3,7.620.000.000.000.000,7.620.000.000.000.000,-3,-3.400.000.000.000.000,1.6,-0.29,,neither,U-DEC,,3.0,05:00,900.0
Nassourdine Imavov,Ian Heinisch,USA,Red,FALSE,Middleweight,MALE,3,1,0,0,3.25,0.5,0.7,01.02,0.17,3,3,17,0,0,0,2,2,0,0,4,180.34,182.88,185,1,0,0,4.3,0.54,1.6,0.79,0.22,1,1,6,0,0,0,1,0,0,0,1,190.5,190.5,185,26,32,0,0,2,3,2,11,0,2,0,-10.159.999.999.999.900,-7.620.000.000.000.000,6,-10.499.999.999.999.900,-9.000.000.000.000.000,2.299.999.999.999.990,,neither,KO/TKO,Punches,2.0,03:09,489.0
Mickey Gall,Jordan Williams,USA,Red,FALSE,Welterweight,MALE,3,1,0,0,5.97,0.5,0.0,1.23,0.57,1,2,10,0,0,0,0,1,0,0,1,185.42,190.5,185,1,0,0,2.6,0.46,2.4,1.32,0.28,3,3,16,0,0,0,1,0,4,0,5,187.96,187.96,170,29,30,0,0,-2,-4,-1,-6,0,1,-4,-2.539.999.999.999.990,2.539.999.999.999.990,1,3.37,-2.4,-0.09,,neither,SUB,Rear Naked Choke,1.0,02:57,177.0
Julio Arce,Andre Ewell,USA,Red,FALSE,Bantamweight,MALE,3,1,0,0,4.35,0.41,0.1,0.27,0.66,2,3,21,0,0,3,1,0,0,0,4,172.72,190.5,135,1,0,0,4.31,0.36,0.5,0.52,0.3,3,2,17,0,0,0,1,2,1,0,4,170.18,177.8,145,31,33,0,0,-1,0,1,4,0,-2,-1,2.539.999.999.999.990,12.699.999.999.999.900,2,0.04,-0.4,-0.25,,neither,KO/TKO,Punches,2.0,03:45,525.0
Sijara Eubanks,Elise Reed,USA,Red,FALSE,Women's Flyweight,FEMALE,3,0,0,0,0.26,0.25,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,160.02,160.02,125,2,0,0,4.56,0.43,0.4,1.94,0.47,2,4,24,0,0,0,4,0,0,0,4,162.56,170.18,135,36,28,-2,0,-2,-4,-4,-24,0,0,0,-2.539.999.999.999.990,-10.159.999.999.999.900,-8,-4.3,-0.4,-1.94,,neither,KO/TKO,Punches,1.0,03:49,229.0
Diana Belbita,Hannah Goldy,USA,Red,FALSE,Women's Strawweight,FEMALE,3,1,0,0,6.4,0.47,0.0,0.67,0.33,1,1,6,0,0,0,1,0,0,0,1,162.56,154.94,125,2,0,0,6.72,0.46,0.0,0.92,0.66,0,2,4,0,0,0,0,0,0,0,0,170.18,172.72,125,25,29,-1,0,1,1,-1,2,0,0,0,-7.620.000.000.000.000,-17.78,4,-3.199.999.999.999.990,0.0,-0.25,,neither,U-DEC,,3.0,05:00,900.0
Islam Makhachev,Thiago Moises,USA,Red,FALSE,Lightweight,MALE,5,0,3,0,2.49,0.37,1.2,01.03,0.35,3,2,18,0,0,0,3,1,1,0,5,175.26,177.8,155,0,7,0,2.24,0.58,1.0,3.31,0.65,7,1,20,0,0,0,4,1,3,0,8,177.8,177.8,155,29,26,0,-4,-4,-3,1,-2,0,0,-2,-25.400.000.000.000.200,0.0,-3,0.25,1.999.999.999.999.990,-2.28,,Red,SUB,Rear Naked Choke,4.0,02:38,1058.0
Marion Reneau,Miesha Tate,USA,Blue,FALSE,Women's Bantamweight,FEMALE,3,2,0,0,2.13,0.42,1.5,2.16,0.32,5,6,48,3,1,0,6,0,4,0,11,167.64,165.1,135,4,0,1,3.2,0.41,0.8,0.62,0.63,2,6,33,0,0,0,1,2,2,0,5,167.64,172.72,135,44,34,-2,0,3,6,0,15,3,-2,2,0.0,-7.620.000.000.000.000,-10,-10.700.000.000.000.000,0.7,1.54,,Red,KO/TKO,Elbows,3.0,01:53,713.0
Jeremy Stephens,Mateusz Gamrot,USA,Blue,FALSE,Lightweight,MALE,3,0,1,0,4.1,0.48,0.7,5.35,0.34,1,1,5,0,0,0,0,1,0,0,1,177.8,177.8,155,4,0,0,3.17,0.4,0.4,1.16,0.38,3,17,85,0,0,1,6,8,0,0,15,175.26,180.34,145,35,30,-4,1,-2,-14,-16,-80,0,-7,0,25.400.000.000.000.200,-2.539.999.999.999.990,-5,9.299.999.999.999.990,2.999.999.999.999.990,4.19,,neither,SUB,Kimura,1.0,01:05,65.0
Rodolfo Vieira,Dustin Stoltzfus,USA,Red,FALSE,Middleweight,MALE,3,1,0,0,3.68,0.41,0.5,0.48,0.09,1,1,4,0,0,0,0,1,0,0,1,182.88,190.5,185,1,0,0,2.6,0.49,1.4,5.77,0.52,2,1,5,0,0,0,0,0,2,0,2,182.88,185.42,185,31,29,0,0,-1,-1,0,-1,0,1,-2,0.0,5.079.999.999.999.980,-2,01.08,-8.999.999.999.999.990,-5.289.999.999.999.990,,neither,SUB,Rear Naked Choke,3.0,01:54,714.0
Gabriel Benitez,Billy Quarantillo,USA,Blue,FALSE,Featherweight,MALE,3,1,0,0,07.08,0.64,1.7,1.66,0.34,4,1,14,0,0,0,1,2,1,0,4,177.8,177.8,145,0,1,0,4.35,0.39,1.2,0.15,0.5,2,4,21,0,0,0,2,2,2,0,6,172.72,180.34,155,33,32,1,-1,2,-2,-3,-7,0,0,-1,50.800.000.000.000.100,-2.539.999.999.999.990,-1,27.300.000.000.000.000,0.5,1.51,,neither,KO/TKO,Punches,3.0,03:40,820.0
Daniel Rodriguez,Preston Parsons,USA,Red,FALSE,Welterweight,MALE,3,0,0,0,06.08,0.53,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,180.34,180.34,170,0,1,0,08.07,0.48,0.2,1.0,0.55,4,1,15,0,0,0,3,1,1,0,5,185.42,187.96,170,34,26,0,-1,-4,-5,-1,-15,0,-1,-1,-50.800.000.000.000.100,-7.620.000.000.000.000,-8,-1.99,-0.2,-1.0,,neither,KO/TKO,Punches,1.0,03:47,227.0
Amanda Lemos,Montserrat Conejo,USA,Red,FALSE,Women's Strawweight,FEMALE,3,0,1,0,1.16,0.37,1.9,3.85,0.8,1,0,3,0,0,0,1,0,0,0,1,152.4,154.94,115,0,3,0,6.32,0.63,0.5,1.95,1.0,3,1,7,0,0,0,1,1,1,0,3,162.56,165.1,115,34,28,0,-2,-2,-2,-1,-4,0,-1,-1,-10.159.999.999.999.900,-10.159.999.999.999.900,-6,-5.16,1.4,1.9,,Red,KO/TKO,Punch,1.0,00:35,35.0
Khalid Taha,Sergey Morozov,USA,Blue,FALSE,Bantamweight,MALE,3,1,0,0,2.41,0.42,0.0,3.81,0.37,0,1,2,0,0,0,0,0,0,0,0,167.64,170.18,135,1,0,0,2.69,0.33,0.3,0.0,0.0,1,2,10,0,0,0,0,1,0,0,1,165.1,175.26,135,29,32,0,0,-1,-1,-1,-8,0,-1,0,25.400.000.000.000.200,-5.079.999.999.999.980,3,-2.799.999.999.999.990,-0.3,3.81,,neither,U-DEC,,3.0,05:00,900.0
Francisco Figueiredo,Malcolm Gordon,USA,Blue,FALSE,Flyweight,MALE,3,2,0,0,2.4,0.46,0.0,1.47,0.18,0,2,2,0,0,0,0,0,0,0,0,170.18,180.34,125,0,1,0,1.9,0.58,0.0,3.0,0.75,1,0,3,0,0,0,1,0,0,0,1,167.64,172.72,135,31,31,2,-1,-1,-1,2,-1,0,0,0,2.539.999.999.999.990,7.620.000.000.000.000,0,0.5,0.0,-1.53,,neither,U-DEC,,3.0,05:00,900.0
Alan Baudot,Rodrigo Nascimento,USA,Blue,FALSE,Heavyweight,MALE,3,1,0,0,5.46,0.57,1.7,1.71,0.4,2,1,4,0,0,0,0,0,2,0,2,187.96,203.2,246,1,0,0,7.81,0.61,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,190.5,200.66,243,33,28,0,0,2,2,0,3,0,0,2,-2.539.999.999.999.990,2.539.999.999.999.990,-5,-2.35,1.7,1.71,,neither,KO/TKO,Punches,2.0,01:29,389.0
Dustin Poirier,Conor McGregor,USA,Red,FALSE,Lightweight,MALE,5,1,0,0,5.32,0.49,0.1,0.67,0.55,7,3,27,4,1,0,1,8,0,0,10,175.26,187.96,155,0,2,0,5.62,0.5,1.2,1.5,0.36,5,6,64,2,1,0,6,10,3,0,20,175.26,182.88,155,32,32,1,-2,2,-10,-3,-37,2,-2,-3,0.0,05.08,0,-0.3,-1.1,-0.83,15.0,Red,KO/TKO,,1.0,05:00,300.0
Gilbert Burns,Stephen Thompson,USA,Red,FALSE,Welterweight,MALE,3,0,2,1,04.06,0.43,0.0,0.3,0.45,7,4,48,2,0,0,6,5,0,0,11,182.88,190.5,170,1,0,0,3.12,0.46,0.6,2.16,0.36,6,4,39,1,0,0,5,3,4,0,12,177.8,180.34,170,34,38,-1,2,1,-1,0,9,1,2,-4,05.08,10.16,4,0.94,-0.6,-1.86,,Red,U-DEC,,3.0,05:00,900.0
Tai Tuivasa,Greg Hardy,USA,Red,FALSE,Heavyweight,MALE,3,1,0,0,4.84,0.5,0.0,0.2,0.33,2,3,19,0,0,0,1,5,0,0,6,195.58,203.2,265,0,2,0,4.48,0.5,0.0,0.0,0.0,3,3,14,0,0,0,1,4,0,0,5,187.96,190.5,264,28,32,1,-2,-1,1,0,5,0,1,0,7.62,12.7,4,0.36,0.0,0.2,,neither,KO/TKO,Punch,1.0,01:07,67.0
Irene Aldana,Yana Kunitskaya,USA,Red,FALSE,Women's Bantamweight,FEMALE,3,0,2,0,4.28,0.56,0.2,1.53,0.53,2,2,16,1,0,0,4,0,0,0,4,167.64,172.72,135,1,0,0,5.61,0.39,0.1,0.22,0.5,3,4,27,0,0,1,2,1,1,0,5,175.26,172.72,135,33,31,-1,2,-1,-1,-2,-11,1,-1,-1,-7.62,0.0,-2,-1.33,0.1,1.31,,Red,KO/TKO,Punches,1.0,04:35,275.0
Sean O'Malley,Kris Moutinho,USA,Red,FALSE,Bantamweight,MALE,3,0,0,0,4.81,0.32,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,170.18,172.72,135,0,1,0,8.25,0.62,0.6,0.63,0.5,5,1,13,0,0,0,2,4,0,0,6,180.34,182.88,135,26,28,0,-1,-5,-6,-1,-13,0,-4,0,-10.16,-10.16,2,-3.44,-0.6,-0.63,,neither,KO/TKO,Punches,3.0,04:33,873.0
Carlos Condit,Max Griffin,USA,Blue,FALSE,Welterweight,MALE,3,0,2,0,4.35,0.49,0.4,1.63,0.53,2,6,29,0,1,0,1,3,0,0,5,180.34,193.04,170,0,2,0,3.66,0.39,1.0,0.59,0.46,5,10,63,3,0,1,3,6,4,0,14,187.96,190.5,170,37,35,0,0,-3,-9,-4,-34,-3,-3,-4,-7.62,2.54,-2,0.69,-0.6,01.04,,neither,U-DEC,,3.0,05:00,900.0
Niko Price,Michel Pereira,USA,Blue,FALSE,Welterweight,MALE,3,0,2,0,4.22,0.55,0.8,02.01,0.62,2,2,13,0,0,0,1,1,1,0,3,185.42,185.42,170,1,0,0,5.29,0.41,0.9,0.75,0.2,2,4,21,0,0,0,0,4,2,0,6,182.88,193.04,170,31,27,-1,2,0,-3,-2,-8,0,-3,-1,2.54,-7.62,-4,-1.07,-0.1,1.26,,neither,U-DEC,,3.0,05:00,900.0
Ryan Hall,Ilia Topuria,USA,Blue,FALSE,Featherweight,MALE,3,0,2,0,2.77,0.48,3.4,3.35,0.55,2,0,4,0,0,0,1,1,0,0,2,170.18,175.26,145,0,4,0,2.3,0.44,0.9,0.29,0.11,4,0,10,0,0,0,3,0,1,0,4,177.8,177.8,145,36,24,0,-2,-2,-2,0,-6,0,1,-1,-7.62,-2.54,-12,0.47,2.5,03.06,,neither,KO/TKO,Punches,1.0,04:47,287.0
Trevin Giles,Dricus Du Plessis,USA,Blue,FALSE,Middleweight,MALE,3,0,1,0,05.07,0.48,0.0,2.99,0.5,1,0,1,0,0,0,0,1,0,0,1,185.42,193.04,185,0,3,0,3.14,0.54,0.3,1.27,0.8,3,2,20,0,0,1,1,3,0,0,5,182.88,187.96,185,28,27,0,-2,-2,-4,-2,-19,0,-2,0,2.54,05.08,-1,1.93,-0.3,1.72,,neither,KO/TKO,Punch,2.0,01:41,401.0
Jennifer Maia,Jessica Eye,USA,Red,FALSE,Women's Flyweight,FEMALE,3,2,0,0,3.96,0.36,0.5,0.55,0.44,3,8,42,1,0,2,2,1,0,0,5,167.64,167.64,125,1,0,0,3.8,0.38,0.1,0.29,0.5,2,3,18,1,0,0,2,0,1,0,3,162.56,162.56,125,32,34,1,0,1,2,5,24,0,1,-1,05.08,05.08,2,0.16,0.4,0.26,,Red,U-DEC,,3.0,05:00,900.0
Omari Akhmedov,Brad Tavares,USA,Blue,FALSE,Middleweight,MALE,3,0,1,0,3.18,0.42,0.0,0.91,0.27,5,6,52,0,0,2,9,2,0,0,13,185.42,187.96,185,0,1,1,2.97,0.34,0.2,2.58,0.45,3,4,35,0,0,1,5,2,1,0,9,182.88,185.42,185,33,33,0,0,2,4,2,17,0,0,-1,2.54,2.54,0,0.21,-0.2,-1.67,,Red,S-DEC,,3.0,05:00,900.0
Zhalgas Zhumagulov,Jerome Rivera,USA,Red,FALSE,Flyweight,MALE,3,3,0,0,3.21,0.33,0.0,0.0,0.0,1,3,9,0,0,0,1,0,0,0,1,177.8,182.88,125,2,0,0,4.21,0.49,0.5,1.4,0.21,0,2,6,0,0,0,0,0,0,0,0,162.56,167.64,125,32,26,1,0,1,1,1,3,0,0,0,15.24,15.24,-6,-1.0,-0.5,-1.4,,neither,SUB,Guillotine Choke,1.0,02:02,122.0
Ciryl Gane,Alexander Volkov,USA,Red,FALSE,Heavyweight,MALE,5,0,2,0,4.88,0.59,0.2,0.66,0.7,4,2,28,0,0,1,2,4,0,0,7,200.66,203.2,250,0,5,0,05.04,0.55,0.5,1.13,0.26,5,0,14,0,0,0,2,1,2,0,5,193.04,205.74,245,31,32,0,-3,-1,2,2,14,0,3,-2,7.62,-2.54,1,-0.16,-0.3,-0.47,,Red,U-DEC,,5.0,05:00,1500.0
Tanner Boser,Ovince Saint Preux,USA,Red,FALSE,Heavyweight,MALE,3,1,0,0,2.68,0.46,0.6,1.19,0.4,5,11,69,1,1,0,4,9,5,0,19,190.5,203.2,205,2,0,0,4.21,0.52,0.0,0.0,0.0,2,3,15,0,0,0,1,2,0,0,3,187.96,190.5,255,29,38,-1,0,3,16,8,54,1,7,5,2.54,12.7,9,-1.53,0.6,1.19,,neither,KO/TKO,Punch,2.0,02:31,451.0
Raoni Barcelos,Timur Valiev,USA,Blue,FALSE,Bantamweight,MALE,3,0,1,0,5.5,0.71,0.0,2.73,0.66,1,0,5,0,0,0,1,0,0,0,1,167.64,170.18,135,0,5,0,5.59,0.52,0.7,2.23,0.56,5,0,13,0,0,0,2,2,1,0,5,170.18,170.18,135,34,31,0,-4,-4,-4,0,-8,0,-2,-1,-2.54,0.0,-3,-0.09,-0.7,0.5,,neither,M-DEC,,3.0,05:00,900.0
Tim Means,Nicolas Dalby,USA,Red,FALSE,Welterweight,MALE,3,0,2,1,3.2,0.37,0.0,1.45,0.33,2,2,19,0,0,1,2,0,0,0,3,180.34,187.96,170,0,2,0,5.16,0.48,0.2,0.92,0.41,4,9,51,0,0,1,5,5,2,0,13,187.96,190.5,170,37,36,0,0,-2,-10,-7,-32,0,-5,-2,-7.62,-2.54,-1,-1.96,-0.2,0.53,,neither,U-DEC,,3.0,05:00,900.0
Renato Moicano,Jai Herbert,USA,Red,FALSE,Lightweight,MALE,3,1,0,0,1.83,0.3,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,185.42,195.58,155,1,0,0,5.4,0.46,0.6,1.28,0.53,3,4,20,0,0,2,1,0,3,0,6,180.34,182.88,155,32,33,0,0,-3,-6,-3,-17,0,0,-3,05.08,12.7,1,-3.57,-0.6,-1.28,,neither,SUB,Rear Naked Choke,2.0,04:34,574.0
Kennedy Nzechukwu,Danilo Marques,USA,Red,FALSE,Light Heavyweight,MALE,3,0,2,0,1.81,0.88,1.2,4.83,0.34,2,0,5,0,0,0,1,0,1,0,2,198.12,195.58,205,0,2,0,5.38,0.43,0.0,0.0,0.0,2,1,12,0,0,1,1,2,0,0,4,195.58,210.82,205,29,35,0,0,0,-2,-1,-7,0,-2,1,2.54,-15.24,6,-3.57,1.2,4.83,,neither,KO/TKO,Punches,3.0,00:20,620.0
Shavkat Rakhmonov,Michel Prazeres,USA,Red,FALSE,Welterweight,MALE,3,1,0,0,2.44,0.47,0.6,4.11,0.36,8,3,35,0,0,3,4,0,3,0,10,167.64,170.18,170,0,1,0,2.79,0.52,3.2,0.0,0.0,1,0,1,0,0,0,0,0,1,0,1,185.42,195.58,170,26,39,1,-1,7,9,3,34,0,0,2,-17.78,-25.4,13,-0.35,-2.6,4.11,,neither,SUB,Rear Naked Choke,2.0,02:10,430.0
Warlley Alves,Jeremiah Wells,USA,Blue,FALSE,Welterweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,175.26,187.96,170,0,1,0,03.09,0.47,1.0,1.48,0.54,4,4,28,0,0,0,2,3,3,0,8,180.34,182.88,170,30,34,0,-1,-4,-8,-4,-28,0,-3,-3,-5.08,05.08,4,-3.09,-1.0,-1.48,,neither,KO/TKO,Punch,2.0,00:30,330.0
Marcin Prachnio,Ike Villanueva,USA,Red,FALSE,Light Heavyweight,MALE,3,0,1,0,3.62,0.4,0.0,0.0,0.0,1,2,5,0,0,0,0,1,0,0,1,185.42,185.42,205,0,1,0,5.4,0.47,0.0,0.0,0.0,1,3,6,0,0,0,1,0,0,0,1,190.5,187.96,205,32,37,0,0,0,0,-1,-1,0,1,0,-5.08,-2.54,5,-1.78,0.0,0.0,,neither,KO/TKO,Kick,2.0,00:56,356.0
Julia Avila,Julija Stoliarenko,USA,Red,FALSE,Women's Bantamweight,FEMALE,3,2,0,0,2.1,0.34,0.5,0.0,0.0,0,2,6,0,0,0,0,0,0,0,0,170.18,167.64,135,1,0,0,3.1,0.41,0.0,0.49,0.5,2,1,7,0,0,0,1,1,0,0,2,170.18,172.72,135,33,28,1,0,-2,-2,1,-1,0,-1,0,0.0,-5.08,-5,-1.0,0.5,-0.49,,Red,SUB,Rear Naked Choke,3.0,04:19,859.0
Charles Rosa,Justin Jaynes,USA,Red,FALSE,Featherweight,MALE,3,3,0,0,3.58,0.42,0.6,0.0,0.0,1,3,7,0,0,0,0,1,0,0,1,170.18,172.72,145,1,0,0,3.11,0.37,1.0,1.76,0.32,1,5,25,0,0,1,1,0,2,0,4,175.26,175.26,145,34,31,2,0,0,-3,-2,-18,0,1,-2,-5.08,-2.54,-3,0.47,-0.4,-1.76,,neither,S-DEC,,3.0,05:00,900.0
